Info 0    [17:47:28.690] Starting TS Server
Info 1    [17:47:28.693] Version: 3.8.3
Info 2    [17:47:28.693] Arguments: /Users/ich-jeferson/.nvm/versions/node/v12.4.0/bin/node /Users/ich-jeferson/.nvm/versions/node/v12.4.0/bin/tsserver --logFile /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/0x/plcx5lwx443gm651g30q56k00000gn/T/7edafd2183d036495fa7df1f4249a287/tscancellation*
Info 3    [17:47:28.693] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [17:47:28.704] Search path: /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project
Info 5    [17:47:28.705] For info: /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project/app.js :: No config files found.
Info 6    [17:47:28.710] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [17:47:29.832] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1122ms
Info 8    [17:47:29.832] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [17:47:29.832] 	Files (100)

Info 10   [17:47:29.832] -----------------------------------------------
Info 11   [17:47:42.497] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project/.#app.js :: WatchInfo: /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 12   [17:47:42.498] Elapsed:: 1ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project/.#app.js :: WatchInfo: /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 13   [17:47:42.696] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [17:47:42.709] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 13ms
Info 15   [17:47:42.710] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 16   [17:47:47.287] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [17:47:47.299] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 12ms
Info 18   [17:47:47.299] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 19   [17:48:18.572] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project/#app.js# :: WatchInfo: /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 20   [17:48:18.573] Elapsed:: 1ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project/#app.js# :: WatchInfo: /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 21   [17:50:43.953] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 22   [17:50:43.953] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 23   [17:50:43.953] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/index.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 24   [17:50:43.953] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/index.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 25   [17:50:43.953] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 26   [17:50:43.953] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 27   [17:50:43.954] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 28   [17:50:43.954] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 29   [17:50:43.954] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/index.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 30   [17:50:43.983] Elapsed:: 29ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/index.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 31   [17:50:43.983] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 32   [17:50:43.983] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 33   [17:50:43.983] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 34   [17:50:44.22] Elapsed:: 39ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 35   [17:50:44.22] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json.3673841717 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 36   [17:50:44.22] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json.3673841717 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 37   [17:50:44.22] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 38   [17:50:44.41] Elapsed:: 19ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/types-registry/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 39   [17:50:44.41] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 40   [17:50:44.46] Elapsed:: 5ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 41   [17:50:44.301] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [17:50:44.504] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true Elapsed: 203ms
Info 43   [17:50:44.504] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 44   [17:50:44.505] Structure before ensureProjectForOpenFiles:
Info 45   [17:50:44.505] Structure after ensureProjectForOpenFiles:
Info 46   [17:50:44.505] got projects updated in background, updating diagnostics for /Users/ich-jeferson/Courses/web_dev_Bootcamp/Yelp_Camp_Project/app.js
Info 47   [17:52:15.858] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 48   [17:52:15.864] Elapsed:: 6ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 49   [17:52:15.864] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 50   [17:52:15.864] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 51   [17:52:15.864] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 52   [17:52:15.864] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 53   [17:52:15.909] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 54   [17:52:15.914] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 55   [17:52:15.914] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 56   [17:52:15.914] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/mongoose-17f9ef2e/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 57   [17:52:15.914] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 58   [17:52:15.914] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/LICENSE :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 59   [17:52:15.914] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 60   [17:52:15.914] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 61   [17:52:15.914] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 62   [17:52:15.914] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/@types/ejs-e1b5e1b4/index.d.ts :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
